Att1,Att2,Att3
1,1,0
13934930,5935672,23
13950186,5939489,12
13939458,6058343,54
13939458,6060407,-34
13935956,6059166,65
13934556,6062211,12
13986959,6068077,-73
13946130,6066346,234
13958107,6070321,34.4
14069914,6067787,62.4
13959879,6071164,12.4
13991485,6065918,54.6
13972312,6067022,77.7
13971826,6065798,12.43
13969175,6067022,9.43
13940488,6064364,43.2
14021641,6071350,12.7
14313789,6100466,33
14314761,6097863,65
13933690,6100021,32
13975654,6100157,31
13976513,6066346,67
