Att2,Att1,Att3
1,1,0
5935672,13934930,23.0
5939489,13950186,12.0
6058343,13939458,54.0
6060407,13939458,-34.0
6059166,13935956,65.0
6062211,13934556,12.0
6068077,13986959,-73.0
6066346,13946130,234.0
6070321,13958107,34.400001525878906
6067787,14069914,62.400001525878906
6071164,13959879,12.399999618530273
6065918,13991485,54.599998474121094
6067022,13972312,77.69999694824219
6065798,13971826,12.430000305175781
6067022,13969175,9.430000305175781
6064364,13940488,43.20000076293945
6071350,14021641,12.699999809265137
6100466,14313789,33.0
6097863,14314761,65.0
6100021,13933690,32.0
6100157,13975654,31.0
6066346,13976513,67.0
